               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.055297,            0.015947,                   0,             0.60652,              0.3012,             0.36527,             0.16639,            0.061011,            0.016043,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.054735,            0.015063,                   0,             0.48351,              0.3494,             0.35939,             0.17545,             0.06048,             0.01585,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.054018,            0.017049,                   0,             0.48842,              0.3253,             0.34918,             0.15875,            0.061404,            0.015879,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.054744,            0.015591,                   0,             0.43969,             0.33735,             0.34087,             0.14791,            0.060635,            0.016014,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.053439,            0.015056,                   0,             0.50458,             0.38045,             0.32738,             0.14054,            0.060176,             0.01607,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.053408,            0.015353,                   0,              0.4601,             0.38554,             0.32912,             0.13991,            0.059774,            0.016098,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.058083,             0.01632,                   0,             0.43648,             0.38554,             0.33023,             0.13979,            0.060162,            0.016012,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.055215,            0.015985,                   0,             0.43581,             0.36145,              0.3217,              0.1296,            0.059943,            0.015976,                   0,             0.00109,             0.00109,             0.00109
                  92,              0.0546,            0.015799,                   0,             0.40475,             0.39327,             0.32182,              0.1336,            0.059634,            0.016003,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.055332,             0.01561,                   0,             0.44953,             0.38374,             0.36379,             0.14689,            0.059647,            0.015979,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.054906,            0.015708,                   0,             0.46435,             0.37349,             0.36676,             0.14696,             0.05896,            0.015928,                   0,            0.000793,            0.000793,            0.000793
                  95,             0.05185,            0.015855,                   0,             0.45524,             0.38554,             0.35168,             0.15102,            0.058924,            0.015864,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.053486,               0.016,                   0,             0.47594,             0.40964,             0.36225,              0.1493,              0.0593,            0.015858,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.054854,            0.015919,                   0,             0.49663,             0.39759,             0.36695,             0.15171,            0.059462,            0.015878,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.052138,            0.015208,                   0,             0.50155,             0.40964,              0.3638,             0.14801,            0.059475,            0.015896,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.052996,            0.015785,                   0,             0.51909,             0.42169,             0.35603,             0.15015,            0.059379,            0.015933,                   0,            0.000298,            0.000298,            0.000298
